Name,Age,#days,Lev,Date,Tm, ,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Jos\xc3\xa9 Abreu,36,1,Maj-AL,"Mar 31, 2023",Houston,,Chicago,1,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.5,0.333,0.833,547989
Nick Ahmed,33,1,Maj-NL,"Mar 31, 2023",Arizona,@,Los Angeles,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,605113
Pete Alonso,28,1,Maj-NL,"Mar 31, 2023",New York,@,Miami,1,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25,0.25,1.0,1.25,624413
Yordan Alvarez,26,1,Maj-AL,"Mar 31, 2023",Houston,,Chicago,1,4,3,0,1,1,0,0,3,1,0,1,0,0,0,0,0,0,0.333,0.5,0.667,1.167,670541
Tim Anderson,30,1,Maj-AL,"Mar 31, 2023",Chicago,@,Houston,1,5,4,1,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0.5,0.6,0.5,1.1,641313
Elvis Andrus,34,1,Maj-AL,"Mar 31, 2023",Chicago,@,Houston,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.25,0.25,0.5,462101
Gabriel Arias,23,1,Maj-AL,"Mar 31, 2023",Cleveland,@,Seattle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,672356
Luis Arraez,26,1,Maj-NL,"Mar 31, 2023",Miami,,New York,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.5,0.333,0.833,650333
Jos\xc3\xa9 Azocar,27,1,Maj-NL,"Mar 31, 2023",San Diego,,Colorado,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,640492
Josh Bell,30,1,Maj-AL,"Mar 31, 2023",Cleveland,@,Seattle,1,5,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0.0,0.4,0.0,0.4,605137
Andrew Benintendi,28,1,Maj-AL,"Mar 31, 2023",Chicago,@,Houston,1,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,643217
Jon Berti,33,1,Maj-NL,"Mar 31, 2023",Miami,,New York,1,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,542932
Mookie Betts,30,1,Maj-NL,"Mar 31, 2023",Los Angeles,,Arizona,1,5,3,1,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0.333,0.6,1.333,1.933,605141
Charlie Blackmon,36,1,Maj-NL,"Mar 31, 2023",Colorado,@,San Diego,1,5,4,2,2,0,0,1,2,0,0,1,1,0,0,0,0,0,0.5,0.6,1.25,1.85,453568
Xander Bogaerts,30,1,Maj-NL,"Mar 31, 2023",San Diego,,Colorado,1,4,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0.333,0.25,0.333,0.583,593428
Alex Bregman,29,1,Maj-AL,"Mar 31, 2023",Houston,,Chicago,1,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,608324
Kris Bryant,31,1,Maj-NL,"Mar 31, 2023",Colorado,@,San Diego,1,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.25,0.4,0.25,0.65,592178
Mark Canha,34,1,Maj-NL,"Mar 31, 2023",New York,@,Miami,1,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.0,0.25,0.0,0.25,592192
Matt Carpenter,37,1,Maj-NL,"Mar 31, 2023",San Diego,,Colorado,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,572761
Corbin Carroll,22,1,Maj-NL,"Mar 31, 2023",Arizona,@,Los Angeles,1,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.75,1.25,682998
Harold Castro,29,1,Maj-NL,"Mar 31, 2023",Colorado,@,San Diego,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,605612
Jazz Chisholm Jr.,25,1,Maj-NL,"Mar 31, 2023",Miami,,New York,1,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.25,0.25,1.0,1.25,665862
Oscar Col\xc3\xa1s,24,1,Maj-AL,"Mar 31, 2023",Chicago,@,Houston,1,4,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,0.25,0.0,0.25,693049
Garrett Cooper,32,1,Maj-NL,"Mar 31, 2023",Miami,,New York,1,4,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,1.25,2.0,643265
