Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Bryan Abreu,26,0,Maj-AL,"Apr 7, 2023",Houston,@,Minnesota,1,0,,,,0.2,0,0,0,1,1,0,0,0.0,,2,0,0,0,0,0,0,0,0,3,14,0.5,0.21,0.14,1.0,0.0,0.0,1.5,0.0,13.5,1.0,650556
Jason Adam,31,0,Maj-AL,"Apr 7, 2023",Tampa Bay,,Oakland,1,0,,,,1.0,1,1,1,1,2,0,1,9.0,,4,0,0,0,0,0,0,0,0,6,23,0.48,0.13,0.13,1.0,0.0,0.0,2.0,0.5,18.0,2.0,592094
Yency Almonte,29,0,Maj-NL,"Apr 7, 2023",Los Angeles,@,Arizona,1,0,,,,0.2,3,2,2,0,0,0,0,27.0,,5,2,0,0,0,0,1,0,0,5,22,0.64,0.27,0.0,0.6,0.4,0.0,4.5,0.6,0.0,,622075
Jos\xc3\xa9 Alvarado,28,0,Maj-NL,"Apr 7, 2023",Philadelphia,,Cincinnati,1,0,,,,1.0,0,0,0,0,3,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,14,0.64,0.29,0.21,,,,0.0,,27.0,,621237
Bryan Baker,28,0,Maj-AL,"Apr 7, 2023",Baltimore,,New York,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,2,0,0,0,1,0,1,0,0,2,8,0.63,0.13,0.13,1.0,0.0,0.0,0.0,0.0,9.0,,641329
Scott Barlow,30,0,Maj-AL,"Apr 7, 2023",Kansas City,@,San Francisco,1,0,,,1.0,1.0,1,0,0,1,2,0,0,0.0,,4,0,1,0,0,0,0,0,0,5,23,0.57,0.17,0.09,0.0,0.5,0.0,2.0,0.5,18.0,2.0,605130
Matt Barnes,33,0,Maj-NL,"Apr 7, 2023",Miami,@,New York,1,0,,,,1.0,1,1,1,1,2,1,0,9.0,,4,0,0,0,0,0,1,0,0,5,21,0.57,0.29,0.05,0.0,0.0,0.5,2.0,0.0,18.0,2.0,598264
Chris Bassitt,34,0,Maj-AL,"Apr 7, 2023",Toronto,@,Los Angeles,1,1,1.0,,,6.0,2,3,2,5,5,1,0,3.0,58,20,0,0,0,1,0,1,0,0,26,109,0.59,0.17,0.07,0.5,0.13,0.13,1.167,0.071,7.5,1.0,605135
F\xc3\xa9lix Bautista,28,0,Maj-AL,"Apr 7, 2023",Baltimore,,New York,1,0,,,1.0,1.0,0,0,0,1,2,0,0,0.0,,3,0,0,0,0,0,1,0,0,4,19,0.53,0.21,0.16,0.0,0.0,0.0,1.0,0.0,18.0,2.0,642585
Andrew Bellatti,31,0,Maj-NL,"Apr 7, 2023",Philadelphia,,Cincinnati,1,0,,,,0.2,0,0,0,1,1,0,0,0.0,,2,0,0,0,0,0,0,0,0,3,17,0.47,0.18,0.18,0.0,0.0,1.0,1.5,0.0,13.5,1.0,571479
Jake Bird,27,0,Maj-NL,"Apr 7, 2023",Colorado,,Washington,1,0,,,,2.0,2,0,0,1,1,0,0,0.0,,7,0,0,0,1,0,0,0,0,8,19,0.63,0.21,0.0,1.0,0.0,0.0,1.5,0.333,4.5,1.0,656234
Ty Blach,32,0,Maj-NL,"Apr 7, 2023",Colorado,,Washington,1,0,,,,2.1,5,2,2,0,1,0,0,7.71,,10,0,1,0,1,1,1,0,0,11,45,0.58,0.16,0.04,0.8,0.1,0.0,2.143,0.5,3.9,,621389
Matt Brash,25,0,Maj-AL,"Apr 7, 2023",Seattle,@,Cleveland,1,0,,,,1.0,0,0,0,0,3,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,14,0.71,0.43,0.14,,,,0.0,,27.0,,666374
Huascar Brazoban,33,0,Maj-NL,"Apr 7, 2023",Miami,@,New York,1,0,,,,1.0,3,1,1,1,1,0,0,9.0,,6,0,0,0,0,0,0,0,0,7,23,0.57,0.09,0.09,0.6,0.4,0.0,4.0,0.6,9.0,1.0,623211
Madison Bumgarner,33,0,Maj-NL,"Apr 7, 2023",Arizona,,Los Angeles,1,1,,,,4.2,5,3,2,6,5,2,0,3.86,43,18,1,0,0,0,1,0,0,0,25,103,0.5,0.11,0.08,0.29,0.14,0.14,2.357,0.25,9.6,0.83,518516
Matt Bush,37,0,Maj-NL,"Apr 7, 2023",Milwaukee,,St. Louis,1,0,,,,1.0,0,0,0,1,0,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,18,0.56,0.28,0.06,0.0,0.67,0.0,1.0,0.0,0.0,0.0,456713
