,player_id,name,position_type,eligible_positions,percent_owned,status
0,8099,Ian Kennedy,P,['RP'],0,
1,8312,Tommy Hunter,P,['RP'],0,
2,8334,Jesse Chavez,P,['RP'],1,
3,8458,Mark Melancon,P,"['RP', 'IL']",7,IL15
4,8567,Daniel Hudson,P,"['RP', 'IL']",8,IL15
5,8692,Matt Bush,P,"['SP', 'RP']",9,
6,8871,Shelby Miller,P,['RP'],0,
7,8873,Matt Moore,P,['RP'],1,
8,8955,Brad Hand,P,['RP'],7,
9,9068,Drew Pomeranz,P,"['RP', 'IL']",0,IL15
10,9133,Lucas Luetge,P,['RP'],0,
11,9135,Erasmo Ramírez,P,['RP'],0,
12,9179,Jake Diekman,P,['RP'],2,
13,9193,Will Smith,P,['RP'],9,
14,9212,Joe Kelly,P,['RP'],0,
15,9236,Aaron Loup,P,['RP'],1,
16,9262,Brooks Raley,P,['RP'],12,
17,9272,Justin Wilson,P,"['RP', 'IL']",0,IL15
18,9275,Collin McHugh,P,['RP'],12,
19,9299,Jeurys Familia,P,['RP'],0,
20,9333,Matt Barnes,P,['RP'],2,
21,9375,José Cisnero,P,['RP'],0,
22,9388,Ryan Brasier,P,['RP'],0,
23,9402,Caleb Thielbar,P,['RP'],2,
24,9454,Michael Tonkin,P,['RP'],0,
25,9455,Luis García,P,['RP'],2,
26,9544,Lucas Sims,P,"['RP', 'IL']",0,IL15
27,9547,Hunter Harvey,P,['RP'],1,
28,9555,Carl Edwards Jr.,P,['RP'],0,
29,9559,Pierce Johnson,P,['RP'],10,
30,9563,Robert Stephenson,P,"['RP', 'IL']",0,IL15
31,9598,Rafael Montero,P,['RP'],26,
32,9599,Steven Matz,P,"['SP', 'RP']",9,
33,9632,Luke Jackson,P,"['RP', 'IL']",0,IL15
34,9653,Tommy Kahnle,P,"['RP', 'IL']",0,IL15
35,9672,Blake Treinen,P,"['RP', 'IL']",2,IL60
36,9684,Chris Martin,P,['RP'],3,
37,9720,Wilking Rodríguez,P,"['RP', 'IL']",0,IL15
38,9727,Kirby Yates,P,['RP'],0,
39,9730,Tyler Matzek,P,"['RP', 'IL']",0,IL60
40,9763,Drew Rucinski,P,"['RP', 'IL']",2,IL15
41,9767,Drew VerHagen,P,['RP'],0,
42,9768,Chasen Shreve,P,['RP'],0,
43,9782,Andrew Chafin,P,['RP'],11,
44,9786,Buck Farmer,P,['RP'],0,
45,9815,Yimi García,P,['RP'],4,
46,9844,Danny Coulombe,P,['RP'],0,
47,9903,Miguel Castro,P,['RP'],0,
48,9949,Michael Lorenzen (Pitcher),P,"['SP', 'RP', 'IL']",1,IL15
49,9959,Ryan Tepera,P,['RP'],3,
50,9962,Andrew Bellatti,P,['RP'],0,
51,9992,Vince Velasquez,P,"['SP', 'RP']",0,
52,9996,Trevor Gott,P,['RP'],0,
