,player_id,name,status,position_type,eligible_positions,selected_position
0,11268,William Contreras,,B,"['C', 'Util']",C
1,11231,Ty France,,B,"['1B', '3B', 'Util']",1B
2,10919,Andrés Giménez,,B,"['2B', 'SS', 'Util']",2B
3,10420,Austin Riley,,B,"['3B', 'Util']",3B
4,9319,Xander Bogaerts,,B,"['SS', 'Util']",SS
5,10923,Thairo Estrada,,B,"['2B', 'SS', 'LF', 'Util']",LF
6,10496,Taylor Ward,,B,"['CF', 'RF', 'Util']",CF
7,10646,Ronald Acuña Jr.,,B,"['RF', 'Util']",RF
8,9118,Starling Marte,,B,"['RF', 'Util']",Util
9,10429,Ryan Mountcastle,,B,"['1B', 'Util']",BN
10,12763,Masataka Yoshida,,B,"['LF', 'Util']",BN
11,12361,Vaughn Grissom,NA,B,"['2B', 'Util', 'NA']",BN
12,12322,Ezequiel Tovar,,B,"['SS', 'Util']",BN
13,11643,Seth Brown,,B,"['1B', 'LF', 'CF', 'RF', 'Util']",BN
14,12281,Spencer Strider,,P,"['SP', 'RP']",SP
15,7590,Justin Verlander,,P,['SP'],SP
16,11138,Framber Valdez,,P,['SP'],SP
17,11750,Nick Lodolo,,P,['SP'],SP
18,11789,Drew Rasmussen,,P,['SP'],SP
19,12346,Félix Bautista,,P,['RP'],RP
20,11536,Camilo Doval,,P,['RP'],RP
21,11011,Seranthony Domínguez,,P,['RP'],RP
22,11632,James Karinchak,,P,['RP'],RP
0,10166,Willson Contreras,,B,"['C', 'Util']",C
1,9605,Matt Olson,,B,"['1B', 'Util']",1B
2,8996,Jose Altuve,DTD,B,"['2B', 'Util']",2B
3,10566,Ke'Bryan Hayes,,B,"['3B', 'Util']",3B
4,9573,Carlos Correa,,B,"['SS', 'Util']",SS
5,11118,Jeff McNeil,,B,"['2B', 'LF', 'RF', 'Util']",LF
6,10577,Bryan Reynolds,,B,"['CF', 'Util']",CF
7,10369,Mitch Haniger,DTD,B,"['RF', 'Util']",RF
8,9846,Christian Walker,,B,"['1B', 'Util']",Util
9,10233,Amed Rosario,,B,"['SS', 'LF', 'Util']",BN
10,11284,Nico Hoerner,,B,"['SS', 'Util']",BN
11,9247,Jean Segura,,B,"['2B', 'Util']",BN
12,9103,Kolten Wong,,B,"['2B', 'Util']",BN
13,11781,Miguel Vargas,,B,"['1B', 'Util']",BN
14,9121,Gerrit Cole,,P,['SP'],SP
15,9879,Luis Severino,DTD,P,['SP'],SP
16,8270,Charlie Morton,,P,['SP'],SP
17,9616,Tyler Glasnow,DTD,P,['SP'],SP
18,9567,Jon Gray,,P,['SP'],SP
19,11628,Devin Williams,,P,['RP'],RP
20,9902,Raisel Iglesias,DTD,P,['RP'],RP
21,11495,Jhoan Duran,,P,['RP'],RP
22,10657,Paul Sewald,,P,['RP'],RP
0,10843,Daulton Varsho,,B,"['C', 'CF', 'RF', 'Util']",C
1,8658,Freddie Freeman,,B,"['1B', 'Util']",1B
2,10236,Gleyber Torres,,B,"['2B', 'Util']",2B
3,11771,Bobby Witt Jr.,,B,"['3B', 'SS', 'Util']",3B
4,9116,Francisco Lindor,,B,"['SS', 'Util']",SS
5,9558,Kris Bryant,,B,"['LF', 'Util']",LF
6,10504,Cody Bellinger,,B,"['CF', 'Util']",CF
7,10891,MJ Melendez,,B,"['C', 'LF', 'RF', 'Util']",RF
8,11732,Adley Rutschman,,B,"['C', 'Util']",Util
9,12024,Jordan Walker,,B,"['3B', 'Util']",BN
10,9414,Joc Pederson,DTD,B,"['LF', 'RF', 'Util']",BN
11,9095,Yu Darvish,,P,['SP'],SP
12,10438,Dylan Cease,,P,['SP'],SP
13,11381,Logan Gilbert,,P,['SP'],SP
14,9640,Lucas Giolito,,P,['SP'],SP
15,8780,Chris Sale,,P,['SP'],SP
16,10946,Ryan Helsley,,P,['RP'],RP
17,8758,Kenley Jansen,DTD,P,['RP'],RP
18,10258,Ross Stripling,,P,"['SP', 'RP']",RP
19,10141,Zach Eflin,,P,"['SP', 'RP']",RP
20,9582,Sean Manaea,,P,['SP'],BN
21,9123,Jameson Taillon,,P,['SP'],BN
22,9637,Marcus Stroman,,P,['SP'],BN
0,9096,Travis d'Arnaud,,B,"['C', 'Util']",C
1,8868,Anthony Rizzo,,B,"['1B', 'Util']",1B
2,9853,Brandon Drury,,B,"['1B', '2B', '3B', 'Util']",2B
3,9724,Eugenio Suárez,,B,"['3B', 'Util']",3B
4,10234,Dansby Swanson,,B,"['SS', 'Util']",SS
5,10883,Yordan Alvarez,,B,"['LF', 'Util']",LF
6,9877,Aaron Judge,,B,"['CF', 'RF', 'Util']",CF
7,11104,Randy Arozarena,,B,"['LF', 'RF', 'Util']",RF
8,11596,Tommy Edman,,B,"['2B', 'SS', 'Util']",Util
9,10159,Andrew Benintendi,,B,"['LF', 'Util']",BN
10,9334,Kevin Gausman,,P,['SP'],SP
11,11315,Cristian Javier,,P,"['SP', 'RP']",SP
12,10847,Kyle Wright,DTD,P,['SP'],SP
13,11323,Brady Singer,,P,['SP'],SP
14,11251,Merrill Kelly,,P,['SP'],SP
15,12301,Alexis Díaz,,P,['RP'],RP
16,11597,Pete Fairbanks,,P,['RP'],RP
17,10096,Jorge López,,P,['RP'],RP
18,10700,Giovanny Gallegos,,P,['RP'],RP
19,9575,Lance McCullers Jr.,DTD,P,['SP'],BN
20,7048,Adam Wainwright,DTD,P,['SP'],BN
21,8185,Carlos Carrasco,,P,['SP'],BN
22,10423,Mike Soroka,NA,P,"['SP', 'NA']",NA
0,9718,J.T. Realmuto,,B,"['C', 'Util']",C
1,11692,Jake Cronenworth,,B,"['1B', '2B', 'SS', 'Util']",1B
2,9606,Max Muncy,,B,"['2B', '3B', 'Util']",2B
3,10205,Matt Chapman,,B,"['3B', 'Util']",3B
4,9897,Tim Anderson,,B,"['SS', 'Util']",SS
5,10440,Ian Happ,,B,"['LF', 'Util']",LF
6,8861,Mike Trout,,B,"['CF', 'Util']",CF
7,11265,Jake McCarthy,,B,"['LF', 'CF', 'RF', 'Util']",RF
8,10215,Tyler O'Neill,,B,"['LF', 'CF', 'Util']",Util
9,9002,J.D. Martinez,,B,['Util'],BN
10,11124,Ramón Laureano,,B,"['CF', 'RF', 'Util']",BN
11,11221,Luis Arraez,,B,"['1B', '2B', 'Util']",BN
12,10959,Danny Jansen,,B,"['C', 'Util']",BN
